	2019-Dec	2018-Dec	2018-Nov	2019-Apr	2019-Aug	2019-Feb	2019-Jan	2019-Jul	2019-Jun	2019-Mar	2019-May	2019-Nov	2019-Sep	2020-Aug	2020-Dec	2020-Feb	2020-Jan	2020-Jul	2020-Mar	2020-Nov	2020-Oct	2020-Sep	2021-Apr	2021-Jan	2021-Jun	2021-Mar	2021-May
2019-Apr-viral-fraction__viral-spades-short__as-yet-unknown__47609bp__000092||full	0.73061013	0.29129776	0.30624267	18.123821	0.9374873	2.8063583	1.7020525	1.5918192	1.0703866	4.8571553	1.0975156	0.45213607	0.6212707	0.4465219	0.18545844	4.305146	4.6249337	0.94352937	5.765394	0.19015421	0.3080626	0.53346765	0.47483248	0.22039075	0.24584143	0.7054995	0.35344976
2021-Apr-viral-fraction__viral-spades-short__as-yet-unknown__18162bp__000890||full	0	0	0	0	0	0	0	0	0	0.06647452	0	0	0	0	0.10080711	0.087492235	0	0	0.41645858	0	0	0	1.7347418	0.4267179	0.37432125	1.0998615	0.32567245
2019-May-viral-fraction__viral-spades-short__as-yet-unknown__32684bp__000184||full	1.9932473	1.3723994	1.4654269	10.484206	0.92306405	5.5670176	4.2030306	1.1796303	0.6772808	7.773574	2.589519	1.3070574	1.2858891	0.77010846	0.95426655	2.3657699	2.4688118	1.1803647	2.4756389	0.62870157	0.63693154	0.8310788	1.3934392	1.1032828	0.6335682	2.233823	1.3738183
2019-Nov-viral-fraction__viral-spades-short__as-yet-unknown__26238bp__000526||full	0.45785207	0.071333826	0.37822828	0	0	0	0.16401176	0	0	0	0	1.182218	0	0	0	0.05957479	0.14036436	0	0	0	0	0	0	0	0	0	0
2018-Dec-viral-fraction__viral-spades-short__as-yet-unknown__18062bp__001309||full	0.40454268	9.389706	2.8566988	0.079244405	0.04717502	0.5714906	0.89601094	0.047934964	0.054475497	0.23368582	0.38831636	1.3479098	0.05959693	0	0.730359	0.0959317	0.10684744	0	0.07848526	1.7117804	2.4198327	14.942048	0.11771019	0.49401098	0	0.06086548	0
2019-Sep-viral-fraction__viral-spades-short__as-yet-unknown__33264bp__000223||full	1.6377356	1.1000601	1.0967184	1.3659824	2.6406171	0.87199116	1.1553411	1.7394087	1.7491115	0.8613762	0.26378503	1.5645266	3.7903025	4.211064	0.8397984	0.71926975	0.865467	2.546483	0.7426493	1.095971	2.4247587	1.6060207	0.43418434	0.51971185	8.805209	0.45143315	0.6834744
2020-Sep-viral-fraction__viral-spades-short__as-yet-unknown__24284bp__000468||full	0.2922995	0.20247577	0.26957375	0.2902133	0	0	0.18022323	0	0	0.06861479	0	0.3138565	0	0	0.8356651	0.32204378	0.3209657	0	0.50573367	0.7498609	0.69999087	1.1634699	0.060333945	0.8213949	0	0.13105832	0
2020-Feb-viral-fraction__viral-spades-short__as-yet-unknown__28903bp__000413||full	0.110267974	0.10001136	0.10398226	0.96369505	0	0.2433464	0.27230617	0	0.08509852	0.24543835	0.118042216	0	0	0	0.3968436	1.6429851	0.8936733	0.21994223	1.1672764	0.09604737	0.043694757	0.06390054	0.7431409	0.66662085	0.1719782	1.2898362	0.4677899
2019-Sep-viral-fraction__viral-spades-short__as-yet-unknown__31098bp__000273||full	0.16563405	0.18231697	0.24299447	0	0.59979624	0.21680112	0.17576934	0	0	0	0	0.439285	11.32189	0.20875412	0	0.21207623	0.428815	0	0.420661	0	0	0.2931835	0	0	0	0	0
2020-Oct-viral-fraction__viral-spades-short__as-yet-unknown__25687bp__000406||full	14.8682575	53.463634	51.6395	6.2264824	0.7411818	20.881313	31.297241	0.24393754	1.2883203	6.2107635	3.7455459	12.782256	2.0854797	0.40306428	8.630028	9.563523	9.30642	0.1806854	2.829114	5.4584265	13.163054	6.3643	1.2615026	3.2535837	0.5885133	1.0950674	0.47356972
2019-Jul-viral-fraction__viral-spades-short__as-yet-unknown__50989bp__000069||full	1.3725369	11.721755	14.335525	6.4986196	6.247752	9.077459	8.769058	11.041855	0.38750312	5.890412	1.6216183	1.3255895	3.7997868	3.1253216	0.38914382	0.94173384	1.072265	2.3757536	1.9704064	0.37377784	0.7117163	1.9877329	0.5852242	0.36282748	1.590845	0.43627277	0.7854038
2020-Mar-viral-fraction__viral-spades-short__as-yet-unknown__17839bp__001268||full	0.051780313	0	0	0.0954259	0.06140849	0	0.18930776	0	0.09702931	0.12640736	0.16938551	0	0.106311	0.17030886	0.25967276	0.78129816	0.47078267	0.13895114	1.9246808	0.1066514	0.09934543	0.15757826	0.14923742	0.17210911	0.11064183	0.22184287	0.09536059
2020-Jul-viral-fraction__viral-spades-short__as-yet-unknown__55771bp__000056||full	0.39612055	2.2772746	2.6128795	0.1017075	1.0034004	1.4921993	1.4363827	1.1307544	0.6351095	1.2884902	2.745358	0.29751945	0.7768156	2.7174878	0.92973614	0.3734216	0.37898654	9.819744	1.1452465	1.3090472	1.3119849	1.8924326	3.714101	1.0889845	6.4145293	2.81062	2.7600005
2019-Jan-viral-fraction__viral-spades-short__as-yet-unknown__20441bp__001107||full	0.07939277	1.3847518	0.9224216	0.09866978	0	0	1.077701	0	0	0.05858006	0.19256899	0.06527106	0.14419459	0	0.21476565	0.1278565	0	0	0	0.24838014	0.40562785	0.20541506	0	0.050526306	0	0	0
2019-Aug-viral-fraction__viral-spades-short__as-yet-unknown__23929bp__000616||full	0.4631944	0	0.048108224	0	25.989845	0	0	1.6428975	0	0	0	0.9364371	2.1728268	0	0	0.29627603	0.32103264	0	0.10786045	0.1333463	0.39543495	0.15735278	0	0	0	0	0
2019-Feb-viral-fraction__viral-spades-short__as-yet-unknown__17389bp__000155||full	0.0775227	9.115457	10.725475	2.553246	0.21698005	6.3542743	5.7383666	0.17602473	0.4117599	1.0798308	0.7110673	0.09098921	0.18372531	0.18068519	0.10845396	0.3891769	0.60630906	0.12632886	0.9122099	0.08037947	0.12416715	0.4346862	0.10793473	0.115027204	3.262642	0.058397945	0
2019-Jun-viral-fraction__viral-spades-short__as-yet-unknown__29255bp__000242||full	0	0.04606801	0.044871032	0	6.5921884	0	0	5.5710645	26.785837	0	0	0.17780569	1.690656	10.76126	0.1387319	0	0	0.4595106	0.06916425	0.60352415	3.9029632	16.267017	0	0.10812353	0	0	0
2019-Jul-viral-fraction__viral-spades-short__as-yet-unknown__78462bp__000008||full	0.15960693	0.15636064	0.17180961	1.210857	7.609847	0	0.099272	13.029181	0.55645525	0.5377434	1.6309727	0.29588032	7.4242277	0.77509224	0.5149986	0	0.06567262	0.3256762	0.13417606	0.4935793	0.40263727	0.69947976	4.680768	0.61239797	0.7540629	0.6731135	2.3226604
2021-May-viral-fraction__viral-spades-short__as-yet-unknown__35430bp__000132||full	0.3814291	0.21740617	0.169161	2.9719574	0.3558671	1.2507502	0.72589004	0.36660978	0.339937	1.4364879	0.800557	0.26465976	0.4450535	0.2873686	1.415996	2.1105943	1.7191834	0.57395864	3.2038882	0.42937765	0.24084786	0.20248966	6.2415447	3.0534775	2.5479908	6.861607	5.0285316
2021-Jun-viral-fraction__viral-spades-short__as-yet-unknown__29494bp__000173||full	0.08026923	0.19072051	0.21871611	0	17.767374	0	0.10098431	1.638066	0.8355721	0	0.09462965	0.17765512	3.7921937	2.7951143	0.122174725	0.11484685	0.2274545	1.8444382	0.08593409	0.19983354	0.57349503	3.6365342	0	0.08974232	5.973764	0	0
