	2019-Dec	2018-Dec	2018-Nov	2019-Apr	2019-Aug	2019-Feb	2019-Jan	2019-Jul	2019-Jun	2019-Mar	2019-May	2019-Nov	2019-Sep	2020-Aug	2020-Dec	2020-Feb	2020-Jan	2020-Jul	2020-Mar	2020-Nov	2020-Oct	2020-Sep	2021-Apr	2021-Jan	2021-Jun	2021-Mar	2021-May
2020-Sep-viral-fraction__viral-spades-short__as-yet-unknown__36724bp__000157||full	0.6650362	14.371733	15.672115	0	0	3.7771137	5.5612917	0	0	0.55911964	0	0.7470661	0.06071014	0.24817267	1.025265	0.825987	0.4711438	0	0.4419523	1.1124613	2.1168468	12.262931	0.0631021	0.7876007	0	0.08837122	0
2020-Sep-viral-fraction__viral-spades-short__as-yet-unknown__36701bp__000159||full	0	0	0	0	0.03295571	0	0	0	0	0	0	0	0.051438123	0	0	0	0	0	0	0.17587323	0.601347	3.1229477	0	0	0	0	0
2020-Sep-viral-fraction__viral-spades-short__as-yet-unknown__36301bp__000162||full	0.40708762	3.2876234	4.275816	0.48949558	0.19571136	1.4605012	1.9417404	0.11469108	0.11592965	0.23525608	0.08906523	1.0944271	0.3588379	5.7668514	1.6529474	0.75936604	0.6844743	0.121289544	0.4268103	3.3063054	8.343396	11.07919	0.37746426	1.5168458	0.32906884	0.49052504	0.22378139
2020-Sep-viral-fraction__viral-spades-short__as-yet-unknown__36178bp__000166||full	0	0	0	0	0	0	0	0	0	0	0	0	0	0.9438417	0.1289528	0	0	0.08275341	0	0.23369098	0.8572337	2.4908173	0	0.107235655	0	0	0
2020-Sep-viral-fraction__viral-spades-short__as-yet-unknown__36072bp__000168||full	6.2374053	0.9410191	1.1307764	0.07394169	0.17271797	1.632576	0.8398096	0.318572	0.12425164	1.8944309	0.37771642	4.8012137	0.19679497	1.1317115	2.2331893	2.358827	2.4796581	1.1040167	0.8195153	4.059767	5.2398343	1.4646146	1.8309687	2.490949	0.9449208	3.0456672	2.6395006
2020-Sep-viral-fraction__viral-spades-short__as-yet-unknown__35614bp__000169||full	0	0.18241915	0.24127227	0	1.8644197	0	0.17092165	1.3730757	0	0.046503454	0	0.11933872	1.7046092	2.1707785	2.3899848	0	0	0	0	3.6792347	10.309874	6.2820535	0.1314786	1.6913866	0	0.3450921	0.05050691
2020-Sep-viral-fraction__viral-spades-short__as-yet-unknown__35440bp__000172||full	0.22752565	0.19774987	0.22516865	0	0	0	0	0	0	0	0	0.28275803	0	0.25554207	0.27728072	0.23039304	0.20745899	0.111081526	0	1.25907	4.4004335	3.3198352	0	0.15120885	0	0	0
2020-Sep-viral-fraction__viral-spades-short__as-yet-unknown__35307bp__000174||full	0.6045598	0.55653846	0.5958797	0.19623552	0	0	0.3869305	0	0	0.13395299	0	0.5492092	0	0	1.7187308	0.51784414	0.63054085	0	0.4376501	1.5536243	1.6454641	3.3005383	0.29862794	1.4335043	0.06388833	0.5803028	0.11491534
2020-Sep-viral-fraction__viral-spades-short__as-yet-unknown__35027bp__000176||full	0	0.09612168	0.049975436	0	1.9721898	0	0.03998554	1.3725835	0	0	0	0	0.30148807	1.0311292	0.40535724	0	0	0.085764356	0	0.85949564	2.3828428	2.6761642	0	0.13778903	0	0	0
2020-Sep-viral-fraction__viral-spades-short__as-yet-unknown__34943bp__000177||full	0	0.2093287	0.27383244	0	7.1951156	0	0.04818954	4.713278	0.42753062	0	0	0.07546412	2.4183955	2.0964367	0	0	0	11.267461	0	0.07527553	0.24278268	1.8676444	0	0	0.7975908	0	0.13260873
2020-Sep-viral-fraction__viral-spades-short__as-yet-unknown__34936bp__000178||full	0	0	0	0	0.41851875	0	0	0	0	0	0	0	0	0.6896158	0.3108324	0	0	0.1879391	0	0.3042394	1.0018728	2.613968	0.09656511	0	0	0	0
2020-Sep-viral-fraction__viral-spades-short__as-yet-unknown__34795bp__000180||full	0.6837514	0.5334583	0.58179647	0	3.86952	0	0.28908977	3.5585663	0.063620634	0	0	0.5349845	2.6669657	10.135629	0.5594538	0.44099268	0.5356985	0.43719852	0.52182275	0.6000582	2.712273	14.262958	0.06632732	0.30508295	0	0.07822929	0
2020-Sep-viral-fraction__viral-spades-short__as-yet-unknown__34592bp__000182||full	0.091413245	0	0	0	0.39892113	0	0	0.41205108	0	0	0	0.1997039	0.16002361	0.78742474	0.07205586	0.068072915	0	0	0	0.78092176	3.6794953	2.3232203	0	0	0	0	0
2020-Sep-viral-fraction__viral-spades-short__as-yet-unknown__34372bp__000186||full	0	0.063209474	0.07474955	0	4.7202497	0	0	0	0	0	0	0.1293914	6.2411513	17.432123	0.1905923	0	0.094260484	0	0	0.53637064	2.0793872	25.03135	0	0.1380418	0	0	0
2020-Sep-viral-fraction__viral-spades-short__as-yet-unknown__34364bp__000187||full	2.016832	0.8989706	0.6664134	0	2.2597303	0.49388295	0.43877462	2.0122886	3.179233	0.103528745	11.516425	12.732215	1.1126003	1.8654451	0.48418996	0.97533005	1.227954	2.6922522	0.6575244	1.3567156	7.491424	34.938385	0.28465748	0.3497032	1.9424795	0	0.3263282
2020-Sep-viral-fraction__viral-spades-short__as-yet-unknown__33946bp__000191||full	3.0653791	4.1839895	4.659473	0.12168872	2.1169891	2.7180269	2.3800452	3.0636425	6.962982	0.8558823	0.9682628	4.4440694	1.6880181	1.5843576	4.4396176	2.5606365	4.213859	1.7357879	2.2086048	10.697163	26.055073	14.780377	2.1331844	4.125454	11.062982	1.2548741	2.5608134
2020-Sep-viral-fraction__viral-spades-short__as-yet-unknown__33860bp__000192||full	0.058245637	0.054077867	0	0	1.5704224	0	0	4.9251986	0	0	0	0.09101561	25.506182	15.465008	0	0	0.06940852	0.5841975	0	0.10234156	0.5931697	6.5578504	0	0	0	0	0
2020-Sep-viral-fraction__viral-spades-short__as-yet-unknown__33489bp__000197||full	0.5234806	1.4808694	1.4909972	1.0167543	0.2854853	0.9650931	1.1867487	0.309485	0.11177201	0.35558283	0.14449446	0.5466289	0.2870144	2.021661	3.052798	0.8830006	1.080488	0.27293438	1.5798303	4.5349355	5.287872	5.0992346	0.84917617	3.0516126	0.5739095	1.6488204	0.904764
2020-Sep-viral-fraction__viral-spades-short__as-yet-unknown__33116bp__000204||full	0.255664	2.552693	0.24863994	0.08483465	1.4878036	6.718969	0.68963933	2.8379755	25.259138	2.3402183	2.9179792	1.0369085	2.173697	7.085492	0.29286867	0.3637835	0.4136125	11.635851	4.028863	0.65245026	1.7011877	10.142883	0.10935325	0.34036192	5.162742	0.10753244	4.9399066
2020-Sep-viral-fraction__viral-spades-short__as-yet-unknown__33042bp__000206||full	1.3231636	1.0931118	1.0849396	2.9935467	0.63633496	1.1499575	1.1500887	0.496246	0.21201053	0.3961681	0.4386641	0.9217079	0.8060892	1.9458369	38.134575	4.124932	4.158845	0.95018077	7.8677745	27.194221	40.548176	35.16976	5.331941	21.969318	4.950419	7.2932634	3.2613792
2020-Sep-viral-fraction__viral-spades-short__as-yet-unknown__32724bp__000211||full	0	0.09401344	0.03747498	0	0	0	0.052284468	0	0	0	0	0	0	2.3371522	0.65213877	0	0	0.9053549	0	0.45382032	1.3099647	3.5027828	0.28618956	0.2422208	0.15732089	0.12508705	0.08335005
2020-Sep-viral-fraction__viral-spades-short__as-yet-unknown__32618bp__000215||full	0.16712177	0.17694926	0.21886504	0.64191186	4.158429	0.45951727	0.3896811	2.2933044	1.6914091	0.19853923	2.0221634	0.39629853	11.388129	5.0807285	1.8622054	0.1436658	0.15981156	0.5575437	0.2595741	1.8690993	4.8188796	12.482044	0.15049842	1.3425363	1.3977339	0.3825148	0.14582755
2020-Sep-viral-fraction__viral-spades-short__as-yet-unknown__32595bp__000216||full	1.9994777	1.1437737	1.0728236	0.30851078	24.311962	2.2854075	0.8729177	25.581085	2.8876703	1.5340481	0.6331444	7.0641255	42.150787	4.933527	1.1838503	1.0251337	1.5665176	1.3536762	0.4646548	2.2572231	8.569657	9.230518	0.6293231	1.0905952	1.6264175	0.8846754	2.0624816
2020-Sep-viral-fraction__viral-spades-short__as-yet-unknown__31569bp__000233||full	0.5169343	0.21729632	0.1931487	0	0.69306004	0	0.14719832	0.72185475	0.10302285	0	0	0.7259589	1.5735878	2.2746181	0.4241425	0.318391	0.4511301	8.985723	0.27284607	1.7741991	8.116912	11.428943	0	0.47449514	0.14687791	0.368786	0
2020-Sep-viral-fraction__viral-spades-short__as-yet-unknown__31568bp__000234||full	0	0	0.0793387	0	1.2892458	0	0	0	0	0	0	0	0.40645382	38.397354	0.07336897	0	0	0.12871058	0	0.1448263	0.50912184	5.5924616	0	0	0	0	0
2020-Sep-viral-fraction__viral-spades-short__as-yet-unknown__31402bp__000240||full	0.17225622	0.18529947	0.20765284	0	20.063194	0	0.14396624	3.5963051	0.28895387	0	0	0.50158674	7.342295	1.4141148	0.99399304	0.23777702	0.62004125	0.14022969	0.422473	1.681007	4.2594094	40.577442	0.15827784	0.9021879	0	0.29439753	0
2020-Sep-viral-fraction__viral-spades-short__as-yet-unknown__31387bp__000241||full	0.5658007	0.13385844	0.16124862	0	12.092241	0	0.11792512	3.7858555	0	0.07311712	0	1.1291919	6.895895	2.5840912	0.83563435	0.26869446	0.35722652	0.122643486	0.25339812	1.2942951	4.692068	7.8808794	0.16964267	0.6444316	0.09016836	0.37826318	0.13176116
2020-Sep-viral-fraction__viral-spades-short__as-yet-unknown__31341bp__000242||full	0	0.24200298	0.068339735	0	0.08616777	0	0.061776903	0.1443644	0.16451909	0	0.7172128	0.14320776	0.15291098	0.12937166	0.65700996	0.0904061	0.122113	0.33899447	0.08734936	3.0351985	19.52869	171.12073	0	0.2763695	0.05564479	0	0
2020-Sep-viral-fraction__viral-spades-short__as-yet-unknown__31211bp__000246||full	4.8367643	55.937798	57.15383	15.4597845	11.010855	44.317894	42.736546	13.148444	5.7876215	12.205041	8.080303	4.405961	12.0342655	8.46326	18.634623	10.6926565	11.591667	4.4075627	10.003519	12.171928	12.832034	15.790533	5.981757	21.57131	5.555182	11.138106	5.327851
2020-Sep-viral-fraction__viral-spades-short__as-yet-unknown__31125bp__000248||full	13.933558	31.237938	25.840881	61.08053	7.0039783	39.682827	32.585964	6.8109183	4.0001383	40.967373	13.185424	11.0701065	14.39048	12.911445	6.1697764	6.6212616	8.682987	24.678032	5.352838	5.4833355	6.232999	9.728819	6.527518	5.942387	3.9384427	6.729756	6.1036882
2020-Sep-viral-fraction__viral-spades-short__as-yet-unknown__30837bp__000256||full	0.6680851	0.5145028	0.46542394	0.13391934	11.822385	0.31654704	0.45193663	10.514484	4.350934	0.17966636	106.3684	1.1395125	2.09247	28.157955	2.3910906	0.664584	0.6783932	0.789553	0.35065252	2.9108317	10.726308	24.352238	0.4958403	1.2830868	0.3995095	0.69725037	0.25866473
2020-Sep-viral-fraction__viral-spades-short__as-yet-unknown__29958bp__000269||full	0.6883281	0.43654254	0.4528973	0.38689825	0.06906966	0.30007893	0.42474842	0.09667269	0.0863615	0.1432138	0.08188081	0.5616507	0.09353014	2.96023	0.93032527	0.5585337	0.40700346	3.8443196	0.44499165	1.0002294	1.4194093	2.1978233	0.9222131	1.0748404	0.48732334	1.4135939	0.6947809
2020-Sep-viral-fraction__viral-spades-short__as-yet-unknown__29626bp__000273||full	0.15981497	0.31434834	0.34833926	2.6484306	0.50607634	1.2783039	0.945281	0.5023145	0.116226345	0.8105941	0.24461539	0.15916756	0.80674523	0.9341826	0.39235678	0.5544166	0.37296692	0.9957357	2.7807693	0.34596953	0.4616769	0.97613573	0.32839015	0.24932961	0.6908393	0.24699849	0.49100518
2020-Sep-viral-fraction__viral-spades-short__as-yet-unknown__29581bp__000274||full	0.083399296	0.20204309	0.17398708	0.84361744	0.78017884	0.52561414	0.3161876	1.1909959	0.107030556	0.240532	0.16233209	0.059525654	0.5055867	0.18343545	0.81817913	0.3523011	0.3507804	0	0.7950187	1.4897904	1.9335625	3.2390184	0.08786809	0.66088265	0.0792017	0.25132102	0.09102933
2020-Sep-viral-fraction__viral-spades-short__as-yet-unknown__28502bp__000305||full	0.5682506	0.2952859	0.33091974	0	44.7331	0	0.23522083	30.600044	0.92558444	0	1.9857026	0.9644135	13.757719	22.601572	2.3483026	0.73011845	0.91381925	2.5959923	0.78756523	2.194217	4.6552305	14.878081	0.17123453	1.0791627	1.6328611	0.1487828	0.83045805
2020-Sep-viral-fraction__viral-spades-short__as-yet-unknown__28390bp__000311||full	0	1.3822457	2.5449307	0	0.44774362	0	0.29086635	0.4454271	0	0	0	0	0.60509604	0.49273413	0.8966024	0	0	0	0	2.0250664	18.828365	9.733222	0	0.25265697	0	0	0
2020-Sep-viral-fraction__viral-spades-short__as-yet-unknown__28302bp__000313||full	0.68212676	1.2236528	1.3816972	0	0	0	0.722268	0	0	0.12514906	0	0.96902543	1.5221224	0.14081079	2.0189524	0.87056136	0.8265671	0	1.1121613	2.8078291	10.772421	7.0354037	0.17391276	1.0706389	0	0.35621753	0.10846379
2020-Sep-viral-fraction__viral-spades-short__as-yet-unknown__28172bp__000315||full	0	1.45469	1.8850634	0	0.51819277	0.4889986	0.6319667	0.11633826	0	0.109439164	0	0	0.10158286	0.37478143	0.46548888	0	0	1.1714185	0	1.099481	2.2845328	2.1008322	0.055067874	0.28698558	0	0.058716632	0
2020-Sep-viral-fraction__viral-spades-short__as-yet-unknown__27896bp__000323||full	0	0.20251319	0.2525908	0	0	0	0.16561046	0	0	0	0	0	0	0	0.42927837	0	0	0	0	0.5627706	1.5138605	7.310921	0	0.26385927	0	0.08118845	0
2020-Sep-viral-fraction__viral-spades-short__as-yet-unknown__27400bp__000340||full	0	0.44049096	0.0642207	0	0.07626814	0.7421372	0.82289034	0	0	0.14838767	0.10848524	0	0	0.8166765	0	0	0	0.73647803	0	0.33432442	1.4442601	1.4252378	1.8592368	0	0.30172858	0	0.6025632
2020-Sep-viral-fraction__viral-spades-short__as-yet-unknown__27329bp__000343||full	0.20188357	0.073804945	0.07268497	0	28.23465	0	0	1.8683008	0	0	0	0.4196658	5.8219337	0.4966668	0.9189374	0.087216884	0.13609678	0.23653169	0.076417305	1.8934984	7.5767293	15.542909	0.25685182	0.4136299	0.14826375	0.22410694	0.2650841
2020-Sep-viral-fraction__viral-spades-short__as-yet-unknown__27290bp__000344||full	2.7020319	4.4240675	4.579685	1.6921554	1.6962605	4.532565	3.5619316	2.1561108	0.44164693	3.1560316	1.4696484	2.0717692	2.1173606	8.327566	5.182422	2.0064	2.4010968	21.794155	2.169309	4.581694	4.640615	5.6290116	11.0130415	5.9869432	8.342955	6.2574916	10.469486
2020-Sep-viral-fraction__viral-spades-short__as-yet-unknown__27080bp__000358||full	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1372449	0	0	0	0	0.11039525	0.31139973	1.2984626	0	0	0	0	0
2020-Sep-viral-fraction__viral-spades-short__as-yet-unknown__26987bp__000361||full	0.21459427	4.9085526	5.608169	0	0	1.5327907	2.0093012	0	0	0.12828048	0	0.13372694	0	0.0796089	0.13076583	0.20570776	0.25604025	0	0.10223416	0.122280344	0.2849134	3.4389865	0	0.058601134	0	0	0
2020-Sep-viral-fraction__viral-spades-short__as-yet-unknown__26772bp__000363||full	0.05516048	0	0	0	0.07105445	0	0	0	0	0	0	0	0	1.0828792	0.11755395	0.3846746	0.539612	0.053816184	0.11736937	0.19412376	0.62871134	1.4302533	0	0.0777887	0	0	0
2020-Sep-viral-fraction__viral-spades-short__as-yet-unknown__25782bp__000398||full	0	0.1768186	0.18031326	0	0.15642443	0	0	0.27294078	0.70182693	0	0.19538485	0.12775312	0.32467768	0.30181468	0.25725597	0	0	0.41011018	0.22207154	1.3400815	5.537213	3.9267178	0	0.21076703	0.7946309	0	0.31909952
2020-Sep-viral-fraction__viral-spades-short__as-yet-unknown__25693bp__000403||full	0.34688768	0	0	0	0	0	0	0.17570207	0.49888578	0	24.60421	2.3470752	0.07248355	0.14702356	0	0.15163784	0.51107895	0.076424226	0	0.12732044	0.98827696	40.91555	0	0	0.38085076	0	0
2020-Sep-viral-fraction__viral-spades-short__as-yet-unknown__25398bp__000420||full	0	0.18517698	0	0	0	0	0	0	0	0	0.34505317	0.048861187	0	0	0.052977737	0	0	0	0	0.32217702	0.28391507	37.855392	0	0	0.47365972	0	0
