	X1.2018-Nov	X2.2018-Dec	X3.2019-Jan	X4.2019-Feb	X5.2019-Mar	X6.2019-Apr	X7.2019-May	X8.2019-Jun	X9.2019-Jul	X10.2019-Aug	X11.2019-Sep	X12.2019-Oct	X13.2019-Nov	X14.2019-Dec	X15.2020-Jan	X16.2020-Feb	X17.2020-Mar	X18.2020-Apr	X19.2020-May	X20.2020-Jun	X21.2020-Jul	X22.2020-Aug	X23.2020-Sep	X24.2020-Oct	X25.2020-Nov	X26.2020-Dec	X27.2021-Jan	X28.2021-Feb	X29.2021-Mar	X30.2021-Apr	X31.2021-May	X32.2021-Jun
X2021.Mar.viral.fraction__viral.spades.short__as.yet.unknown__28606bp__000292..full	19.397127	19.802317	14.683574	16.15189	5.7334743	3.3882463	3.0990212	3.2966363	7.877896	5.3828635	5.990484	4.49531115	3.0001383	2.636913	3.553674	3.5656397	4.045777	4.03755415	4.0293313	4.02110845	4.0128856	5.1473947	4.5719333	6.4173217	7.595047	13.373043	22.899546	18.5906745	14.281803	5.4239745	8.190267	6.3788805
X2021.Mar.viral.fraction__viral.spades.short__as.yet.unknown__28529bp__000298..full	0.30454394	0.31505576	0.43939722	0.4361957	0.6840907	1.76688	0.26810938	0.11942682	0.12535898	0.16239184	0.23954998	0.93304214	1.6265343	3.3491933	8.806319	8.890641	11.169286	9.203816825	7.23834765	5.272878475	3.3074093	1.9099778	2.7693174	3.3669553	2.7277422	4.1914806	4.952383	7.5149195	10.077456	7.980915	6.662224	2.861034
X2021.Mar.viral.fraction__viral.spades.short__as.yet.unknown__28409bp__000299..full	7.683797	7.3674846	10.390821	11.374993	8.127389	9.3755	4.952314	2.4318607	10.661474	8.245899	9.184197	7.9098475	6.635498	10.5925045	27.491549	26.359367	25.68694	20.963281375	16.23962275	11.515964125	6.7923055	6.434499	13.240728	28.291346	40.681396	41.357544	39.487705	33.859007	28.230309	17.048393	23.518372	16.39466
X2021.Mar.viral.fraction__viral.spades.short__as.yet.unknown__28079bp__000307..full	0.21774113	0.16407275	1.4303331	2.9657335	4.250453	17.101318	1.1905837	0.30744514	0.72585124	0.4130316	0.19837956	0.12668456	0.05498956	0.1243164	1.9080724	2.2167044	8.104411	6.229060125	4.35370925	2.478358375	0.6030075	0.28622574	0.34642693	0.110892415	0.14676532	0.48112848	1.4316076	4.2295313	7.027455	3.8335357	1.8360776	0.6863555
X2021.Mar.viral.fraction__viral.spades.short__as.yet.unknown__26727bp__000354..full	0.64369595	1.4265795	1.6321558	4.148431	1.538089	0.17160396	1.8318535	2.5352795	2.6692977	1.6867392	0.48903173	0.628749935	0.76846814	1.9780666	7.8560295	8.501619	3.0255477	2.52074965	2.0159516	1.51115355	1.0063555	0.49964282	0.4223895	0.5285615	0.97915345	2.9947085	3.9116557	7.02211835	10.132581	7.885226	9.67789	3.8619852
X2021.Mar.viral.fraction__viral.spades.short__as.yet.unknown__26204bp__000372..full	0	0	0	0	0	0	0.23489864	0.1484473	0.1807412	0.60593855	0.14583158	0.07291579	0	0	0.29404378	0.3060246	0	0.261353825	0.52270765	0.784061475	1.0454153	0.5207883	0.2380469	0.22958761	0.24215595	0	0	11.8072825	23.614565	33.735912	10.181797	3.6626856
X2021.Mar.viral.fraction__viral.spades.short__as.yet.unknown__25828bp__000387..full	0.042800188	0.05146129	0.15306163	0.23203655	0.07610177	0.36647597	0.10921749	0	0	0	0.29204556	0.2535294	0.21501324	0.2268188	4.393922	2.3344884	2.4344687	1.83845909575	1.2424494915	0.64643988725	0.050430283	0.105102725	1.8637668	0.67983043	0.8361904	1.6943902	1.7924	1.35767838	0.92295676	1.2850682	0.16616857	0.29312992
X2021.Mar.viral.fraction__viral.spades.short__as.yet.unknown__23275bp__000479..full	0.067903414	0.32626578	1.9039694	1.7720352	1.4725161	1.9467419	0.955216	0.32994863	0.22494598	0.24022752	0.3306888	0.214219583	0.097750366	1.2627921	1.8170662	2.3174953	1.1673601	1.02304775	0.8787354	0.73442305	0.5901107	0.22184949	0.18154489	0.10983528	0.4929438	1.0258987	0.8973785	1.44432985	1.9912812	1.4733527	1.1093218	0.75197077
X2021.Mar.viral.fraction__viral.spades.short__as.yet.unknown__22693bp__000509..full	0.62071544	0.68865687	0.3843427	0.31389517	0.15758698	0.08658557	0.43036073	4.3605065	2.4343865	3.4914265	1.5148367	1.5614826	1.6081285	2.8829927	1.9796337	2.7298436	1.919758	2.21067655	2.5015951	2.79251365	3.0834322	4.054332	1.6851896	1.1567649	0.3634623	1.0622907	0.77392274	1.17610022	1.5782777	3.582791	2.795433	5.910804
X2021.Mar.viral.fraction__viral.spades.short__as.yet.unknown__18841bp__000789..full	0	0	0	0	0.047659263	0.18874757	0	0	0	0	0	0	0	0	0	0	0.14299767	0.1072482525	0.071498835	0.0357494175	0	0	0	0	0	0	0.05283413	0.597338565	1.141843	0.7511874	0.42028672	0.2355523
