final_kluster	category	count	pattern
35ns	connector	2	non_seasonal
98s	connector	10	seasonal
36ns	connector	7	non_seasonal
99s	connector	3	seasonal
37ns	connector	2	non_seasonal
38ns	connector	6	non_seasonal
100s	connector	5	seasonal
39ns	connector	13	non_seasonal
101s	connector	1	seasonal
40ns	connector	4	non_seasonal
41ns	connector	3	non_seasonal
102s	connector	6	seasonal
42ns	connector	3	non_seasonal
103s	connector	5	seasonal
104s	connector	0	seasonal
105s	connector	12	seasonal
106s	connector	8	seasonal
107s	connector	0	seasonal
108s	connector	1	seasonal
43ns	connector	0	non_seasonal
44ns	connector	6	non_seasonal
45ns	connector	0	non_seasonal
46ns	connector	0	non_seasonal
