klusters_tree_list3	obs
21	X2018.Nov.viral.fraction__viral.spades.short__as.yet.unknown__18512bp__001222..full
34	X2018.Nov.viral.fraction__viral.spades.short__as.yet.unknown__18995bp__001171..full
19	X2018.Nov.viral.fraction__viral.spades.short__as.yet.unknown__19300bp__001124..full
8	X2018.Nov.viral.fraction__viral.spades.short__as.yet.unknown__19963bp__001064..full
3	X2018.Nov.viral.fraction__viral.spades.short__as.yet.unknown__20038bp__001054..full
12	X2018.Nov.viral.fraction__viral.spades.short__as.yet.unknown__20121bp__001042..full
3	X2018.Nov.viral.fraction__viral.spades.short__as.yet.unknown__20227bp__001029..full
16	X2018.Nov.viral.fraction__viral.spades.short__as.yet.unknown__20656bp__000988..full
14	X2018.Nov.viral.fraction__viral.spades.short__as.yet.unknown__20684bp__000984..full
5	X2018.Nov.viral.fraction__viral.spades.short__as.yet.unknown__21097bp__000967..full
18	X2018.Nov.viral.fraction__viral.spades.short__as.yet.unknown__21458bp__000936..full
1	X2018.Nov.viral.fraction__viral.spades.short__as.yet.unknown__21857bp__000903..full
5	X2018.Nov.viral.fraction__viral.spades.short__as.yet.unknown__22170bp__000878..full
30	X2018.Nov.viral.fraction__viral.spades.short__as.yet.unknown__22304bp__000873..full
19	X2018.Nov.viral.fraction__viral.spades.short__as.yet.unknown__22487bp__000854..full
8	X2018.Nov.viral.fraction__viral.spades.short__as.yet.unknown__229578bp__000001..full
31	X2018.Nov.viral.fraction__viral.spades.short__as.yet.unknown__23116bp__000795..full
15	X2018.Nov.viral.fraction__viral.spades.short__as.yet.unknown__23430bp__000779..full
5	X2018.Nov.viral.fraction__viral.spades.short__as.yet.unknown__23858bp__000751..full
6	X2018.Nov.viral.fraction__viral.spades.short__as.yet.unknown__23874bp__000747..full
8	X2018.Nov.viral.fraction__viral.spades.short__as.yet.unknown__24078bp__000736..full
18	X2018.Nov.viral.fraction__viral.spades.short__as.yet.unknown__24255bp__000723..full
8	X2018.Nov.viral.fraction__viral.spades.short__as.yet.unknown__24330bp__000717..full
3	X2018.Nov.viral.fraction__viral.spades.short__as.yet.unknown__24348bp__000714..full
26	X2018.Nov.viral.fraction__viral.spades.short__as.yet.unknown__24836bp__000688..full
