klusters_tree_list3	obs
2	X2019.Sep.viral.fraction__viral.spades.short__as.yet.unknown__52679bp__000054..full
67	X2019.Sep.viral.fraction__viral.spades.short__as.yet.unknown__53815bp__000049..full
67	X2019.Sep.viral.fraction__viral.spades.short__as.yet.unknown__54211bp__000045..full
2	X2019.Sep.viral.fraction__viral.spades.short__as.yet.unknown__54805bp__000044..full
7	X2019.Sep.viral.fraction__viral.spades.short__as.yet.unknown__56467bp__000041..full
104	X2019.Sep.viral.fraction__viral.spades.short__as.yet.unknown__57863bp__000039..full
80	X2019.Sep.viral.fraction__viral.spades.short__as.yet.unknown__60482bp__000034..full
22	X2019.Sep.viral.fraction__viral.spades.short__as.yet.unknown__61161bp__000032..full
24	X2019.Sep.viral.fraction__viral.spades.short__as.yet.unknown__61413bp__000030..full
12	X2019.Sep.viral.fraction__viral.spades.short__as.yet.unknown__61729bp__000028..full
105	X2019.Sep.viral.fraction__viral.spades.short__as.yet.unknown__62828bp__000026..full
2	X2019.Sep.viral.fraction__viral.spades.short__as.yet.unknown__68404bp__000021..full
67	X2019.Sep.viral.fraction__viral.spades.short__as.yet.unknown__73606bp__000017..full
40	X2019.Sep.viral.fraction__viral.spades.short__as.yet.unknown__79082bp__000016..full
12	X2019.Sep.viral.fraction__viral.spades.short__as.yet.unknown__80721bp__000015..full
42	X2019.Sep.viral.fraction__viral.spades.short__as.yet.unknown__86464bp__000012..full
80	X2019.Sep.viral.fraction__viral.spades.short__as.yet.unknown__93120bp__000010..full
105	X2019.Sep.viral.fraction__viral.spades.short__as.yet.unknown__93282bp__000009..full
85	X2020.Aug.viral.fraction__viral.spades.short__as.yet.unknown__108749bp__000009..full
85	X2020.Aug.viral.fraction__viral.spades.short__as.yet.unknown__108849bp__000008..full
85	X2020.Aug.viral.fraction__viral.spades.short__as.yet.unknown__12132bp__001571..full
75	X2020.Aug.viral.fraction__viral.spades.short__as.yet.unknown__12254bp__001542..full
85	X2020.Aug.viral.fraction__viral.spades.short__as.yet.unknown__12257bp__001540..full
83	X2020.Aug.viral.fraction__viral.spades.short__as.yet.unknown__13838bp__001199..full
85	X2020.Aug.viral.fraction__viral.spades.short__as.yet.unknown__14264bp__001112..full
41	X2020.Aug.viral.fraction__viral.spades.short__as.yet.unknown__15068bp__000989..full
105	X2020.Aug.viral.fraction__viral.spades.short__as.yet.unknown__15335bp__000954..full
83	X2020.Aug.viral.fraction__viral.spades.short__as.yet.unknown__15993bp__000874..full
83	X2020.Aug.viral.fraction__viral.spades.short__as.yet.unknown__16386bp__000837..full
24	X2020.Aug.viral.fraction__viral.spades.short__as.yet.unknown__16400bp__000835..full
85	X2020.Aug.viral.fraction__viral.spades.short__as.yet.unknown__167924bp__000002..full
46	X2020.Aug.viral.fraction__viral.spades.short__as.yet.unknown__17243bp__000738..full
5	X2020.Aug.viral.fraction__viral.spades.short__as.yet.unknown__19723bp__000533..full
105	X2020.Aug.viral.fraction__viral.spades.short__as.yet.unknown__20956bp__000460..full
70	X2020.Aug.viral.fraction__viral.spades.short__as.yet.unknown__21580bp__000438..full
83	X2020.Aug.viral.fraction__viral.spades.short__as.yet.unknown__21645bp__000430..full
105	X2020.Aug.viral.fraction__viral.spades.short__as.yet.unknown__22160bp__000403..full
83	X2020.Aug.viral.fraction__viral.spades.short__as.yet.unknown__23094bp__000371..full
15	X2020.Aug.viral.fraction__viral.spades.short__as.yet.unknown__23251bp__000367..full
46	X2020.Aug.viral.fraction__viral.spades.short__as.yet.unknown__23346bp__000364..full
83	X2020.Aug.viral.fraction__viral.spades.short__as.yet.unknown__23915bp__000345..full
46	X2020.Aug.viral.fraction__viral.spades.short__as.yet.unknown__23937bp__000341..full
85	X2020.Aug.viral.fraction__viral.spades.short__as.yet.unknown__24239bp__000334..full
74	X2020.Aug.viral.fraction__viral.spades.short__as.yet.unknown__24937bp__000316..full
85	X2020.Aug.viral.fraction__viral.spades.short__as.yet.unknown__26701bp__000264..full
83	X2020.Aug.viral.fraction__viral.spades.short__as.yet.unknown__27058bp__000260..full
15	X2020.Aug.viral.fraction__viral.spades.short__as.yet.unknown__28716bp__000228..full
83	X2020.Aug.viral.fraction__viral.spades.short__as.yet.unknown__29484bp__000219..full
30	X2020.Aug.viral.fraction__viral.spades.short__as.yet.unknown__29651bp__000215..full
105	X2020.Aug.viral.fraction__viral.spades.short__as.yet.unknown__30302bp__000207..full
70	X2020.Aug.viral.fraction__viral.spades.short__as.yet.unknown__31142bp__000197..full
99	X2020.Aug.viral.fraction__viral.spades.short__as.yet.unknown__31505bp__000192..full
105	X2020.Aug.viral.fraction__viral.spades.short__as.yet.unknown__32203bp__000181..full
70	X2020.Aug.viral.fraction__viral.spades.short__as.yet.unknown__32746bp__000174..full
24	X2020.Aug.viral.fraction__viral.spades.short__as.yet.unknown__35152bp__000146..full
83	X2020.Aug.viral.fraction__viral.spades.short__as.yet.unknown__36682bp__000132..full
83	X2020.Aug.viral.fraction__viral.spades.short__as.yet.unknown__37192bp__000127..full
83	X2020.Aug.viral.fraction__viral.spades.short__as.yet.unknown__37311bp__000126..full
105	X2020.Aug.viral.fraction__viral.spades.short__as.yet.unknown__37455bp__000124..full
65	X2020.Aug.viral.fraction__viral.spades.short__as.yet.unknown__37831bp__000121..full
70	X2020.Aug.viral.fraction__viral.spades.short__as.yet.unknown__38119bp__000120..full
44	X2020.Aug.viral.fraction__viral.spades.short__as.yet.unknown__39274bp__000114..full
70	X2020.Aug.viral.fraction__viral.spades.short__as.yet.unknown__39280bp__000113..full
83	X2020.Aug.viral.fraction__viral.spades.short__as.yet.unknown__39283bp__000112..full
83	X2020.Aug.viral.fraction__viral.spades.short__as.yet.unknown__41429bp__000102..full
87	X2020.Aug.viral.fraction__viral.spades.short__as.yet.unknown__41691bp__000101..full
85	X2020.Aug.viral.fraction__viral.spades.short__as.yet.unknown__42111bp__000099..full
44	X2020.Aug.viral.fraction__viral.spades.short__as.yet.unknown__42908bp__000094..full
50	X2020.Aug.viral.fraction__viral.spades.short__as.yet.unknown__43029bp__000093..full
46	X2020.Aug.viral.fraction__viral.spades.short__as.yet.unknown__45598bp__000078..full
15	X2020.Aug.viral.fraction__viral.spades.short__as.yet.unknown__48221bp__000064..full
13	X2020.Aug.viral.fraction__viral.spades.short__as.yet.unknown__48620bp__000062..full
76	X2020.Aug.viral.fraction__viral.spades.short__as.yet.unknown__53710bp__000053..full
11	X2020.Aug.viral.fraction__viral.spades.short__as.yet.unknown__53877bp__000052..full
42	X2020.Aug.viral.fraction__viral.spades.short__as.yet.unknown__55060bp__000050..full
101	X2020.Aug.viral.fraction__viral.spades.short__as.yet.unknown__57388bp__000044..full
83	X2020.Aug.viral.fraction__viral.spades.short__as.yet.unknown__59540bp__000037..full
83	X2020.Aug.viral.fraction__viral.spades.short__as.yet.unknown__64436bp__000030..full
46	X2020.Aug.viral.fraction__viral.spades.short__as.yet.unknown__68628bp__000026..full
104	X2020.Dec.viral.fraction__viral.spades.short__as.yet.unknown__111103bp__000006..full
9	X2020.Dec.viral.fraction__viral.spades.short__as.yet.unknown__14937bp__001322..full
88	X2020.Dec.viral.fraction__viral.spades.short__as.yet.unknown__15608bp__001198..full
11	X2020.Dec.viral.fraction__viral.spades.short__as.yet.unknown__15696bp__001187..full
104	X2020.Dec.viral.fraction__viral.spades.short__as.yet.unknown__16962bp__001009..full
63	X2020.Dec.viral.fraction__viral.spades.short__as.yet.unknown__17275bp__000978..full
61	X2020.Dec.viral.fraction__viral.spades.short__as.yet.unknown__17671bp__000938..full
47	X2020.Dec.viral.fraction__viral.spades.short__as.yet.unknown__18363bp__000868..full
63	X2020.Dec.viral.fraction__viral.spades.short__as.yet.unknown__18570bp__000843..full
86	X2020.Dec.viral.fraction__viral.spades.short__as.yet.unknown__201155bp__000002..full
75	X2020.Dec.viral.fraction__viral.spades.short__as.yet.unknown__20240bp__000689..full
86	X2020.Dec.viral.fraction__viral.spades.short__as.yet.unknown__20279bp__000685..full
56	X2020.Dec.viral.fraction__viral.spades.short__as.yet.unknown__20517bp__000668..full
61	X2020.Dec.viral.fraction__viral.spades.short__as.yet.unknown__206122bp__000001..full
86	X2020.Dec.viral.fraction__viral.spades.short__as.yet.unknown__20800bp__000658..full
86	X2020.Dec.viral.fraction__viral.spades.short__as.yet.unknown__20861bp__000651..full
104	X2020.Dec.viral.fraction__viral.spades.short__as.yet.unknown__21911bp__000582..full
92	X2020.Dec.viral.fraction__viral.spades.short__as.yet.unknown__22243bp__000564..full
91	X2020.Dec.viral.fraction__viral.spades.short__as.yet.unknown__22588bp__000541..full
94	X2020.Dec.viral.fraction__viral.spades.short__as.yet.unknown__23161bp__000518..full
23	X2020.Dec.viral.fraction__viral.spades.short__as.yet.unknown__23509bp__000498..full
20	X2020.Dec.viral.fraction__viral.spades.short__as.yet.unknown__26256bp__000380..full
75	X2020.Dec.viral.fraction__viral.spades.short__as.yet.unknown__26588bp__000365..full
63	X2020.Dec.viral.fraction__viral.spades.short__as.yet.unknown__27250bp__000345..full
6	X2020.Dec.viral.fraction__viral.spades.short__as.yet.unknown__28330bp__000316..full
104	X2020.Dec.viral.fraction__viral.spades.short__as.yet.unknown__29099bp__000296..full
63	X2020.Dec.viral.fraction__viral.spades.short__as.yet.unknown__29512bp__000285..full
75	X2020.Dec.viral.fraction__viral.spades.short__as.yet.unknown__29578bp__000284..full
91	X2020.Dec.viral.fraction__viral.spades.short__as.yet.unknown__29836bp__000278..full
63	X2020.Dec.viral.fraction__viral.spades.short__as.yet.unknown__30136bp__000274..full
100	X2020.Dec.viral.fraction__viral.spades.short__as.yet.unknown__30576bp__000260..full
9	X2020.Dec.viral.fraction__viral.spades.short__as.yet.unknown__31153bp__000251..full
39	X2020.Dec.viral.fraction__viral.spades.short__as.yet.unknown__31422bp__000245..full
106	X2020.Dec.viral.fraction__viral.spades.short__as.yet.unknown__31695bp__000240..full
97	X2020.Dec.viral.fraction__viral.spades.short__as.yet.unknown__32049bp__000232..full
11	X2020.Dec.viral.fraction__viral.spades.short__as.yet.unknown__32349bp__000225..full
61	X2020.Dec.viral.fraction__viral.spades.short__as.yet.unknown__32356bp__000224..full
51	X2020.Dec.viral.fraction__viral.spades.short__as.yet.unknown__32562bp__000221..full
74	X2020.Dec.viral.fraction__viral.spades.short__as.yet.unknown__32927bp__000219..full
86	X2020.Dec.viral.fraction__viral.spades.short__as.yet.unknown__33156bp__000215..full
104	X2020.Dec.viral.fraction__viral.spades.short__as.yet.unknown__34161bp__000201..full
20	X2020.Dec.viral.fraction__viral.spades.short__as.yet.unknown__37076bp__000169..full
100	X2020.Dec.viral.fraction__viral.spades.short__as.yet.unknown__37147bp__000167..full
32	X2020.Dec.viral.fraction__viral.spades.short__as.yet.unknown__37364bp__000165..full
38	X2020.Dec.viral.fraction__viral.spades.short__as.yet.unknown__37462bp__000163..full
23	X2020.Dec.viral.fraction__viral.spades.short__as.yet.unknown__37861bp__000160..full
104	X2020.Dec.viral.fraction__viral.spades.short__as.yet.unknown__39734bp__000142..full
63	X2020.Dec.viral.fraction__viral.spades.short__as.yet.unknown__39975bp__000141..full
37	X2020.Dec.viral.fraction__viral.spades.short__as.yet.unknown__39993bp__000140..full
10	X2020.Dec.viral.fraction__viral.spades.short__as.yet.unknown__42065bp__000131..full
65	X2020.Dec.viral.fraction__viral.spades.short__as.yet.unknown__42863bp__000124..full
63	X2020.Dec.viral.fraction__viral.spades.short__as.yet.unknown__43521bp__000121..full
15	X2020.Dec.viral.fraction__viral.spades.short__as.yet.unknown__43650bp__000116..full
38	X2020.Dec.viral.fraction__viral.spades.short__as.yet.unknown__44542bp__000112..full
104	X2020.Dec.viral.fraction__viral.spades.short__as.yet.unknown__44667bp__000111..full
55	X2020.Dec.viral.fraction__viral.spades.short__as.yet.unknown__45996bp__000100..full
63	X2020.Dec.viral.fraction__viral.spades.short__as.yet.unknown__47496bp__000091..full
39	X2020.Dec.viral.fraction__viral.spades.short__as.yet.unknown__48639bp__000086..full
107	X2020.Dec.viral.fraction__viral.spades.short__as.yet.unknown__51120bp__000074..full
86	X2020.Dec.viral.fraction__viral.spades.short__as.yet.unknown__52643bp__000068..full
102	X2020.Dec.viral.fraction__viral.spades.short__as.yet.unknown__53039bp__000067..full
86	X2020.Dec.viral.fraction__viral.spades.short__as.yet.unknown__54299bp__000057..full
61	X2020.Dec.viral.fraction__viral.spades.short__as.yet.unknown__54535bp__000055..full
38	X2020.Dec.viral.fraction__viral.spades.short__as.yet.unknown__55274bp__000052..full
97	X2020.Dec.viral.fraction__viral.spades.short__as.yet.unknown__56563bp__000047..full
79	X2020.Dec.viral.fraction__viral.spades.short__as.yet.unknown__56915bp__000045..full
38	X2020.Dec.viral.fraction__viral.spades.short__as.yet.unknown__57593bp__000043..full
23	X2020.Dec.viral.fraction__viral.spades.short__as.yet.unknown__58276bp__000038..full
61	X2020.Dec.viral.fraction__viral.spades.short__as.yet.unknown__59657bp__000033..full
39	X2020.Dec.viral.fraction__viral.spades.short__as.yet.unknown__61214bp__000029..full
86	X2020.Dec.viral.fraction__viral.spades.short__as.yet.unknown__65472bp__000027..full
44	X2020.Dec.viral.fraction__viral.spades.short__as.yet.unknown__91999bp__000009..full
62	X2020.Feb.viral.fraction__viral.spades.short__as.yet.unknown__100957bp__000010..full
97	X2020.Feb.viral.fraction__viral.spades.short__as.yet.unknown__12035bp__002770..full
92	X2020.Feb.viral.fraction__viral.spades.short__as.yet.unknown__12390bp__002619..full
72	X2020.Feb.viral.fraction__viral.spades.short__as.yet.unknown__13341bp__002276..full
55	X2020.Feb.viral.fraction__viral.spades.short__as.yet.unknown__14178bp__002007..full
92	X2020.Feb.viral.fraction__viral.spades.short__as.yet.unknown__14585bp__001906..full
37	X2020.Feb.viral.fraction__viral.spades.short__as.yet.unknown__154226bp__000002..full
91	X2020.Feb.viral.fraction__viral.spades.short__as.yet.unknown__16162bp__001564..full
73	X2020.Feb.viral.fraction__viral.spades.short__as.yet.unknown__16969bp__001389..full
91	X2020.Feb.viral.fraction__viral.spades.short__as.yet.unknown__17098bp__001364..full
36	X2020.Feb.viral.fraction__viral.spades.short__as.yet.unknown__17467bp__001296..full
91	X2020.Feb.viral.fraction__viral.spades.short__as.yet.unknown__17739bp__001256..full
82	X2020.Feb.viral.fraction__viral.spades.short__as.yet.unknown__181863bp__000001..full
35	X2020.Feb.viral.fraction__viral.spades.short__as.yet.unknown__18313bp__001175..full
82	X2020.Feb.viral.fraction__viral.spades.short__as.yet.unknown__18405bp__001163..full
26	X2020.Feb.viral.fraction__viral.spades.short__as.yet.unknown__18625bp__001134..full
64	X2020.Feb.viral.fraction__viral.spades.short__as.yet.unknown__18705bp__001119..full
25	X2020.Feb.viral.fraction__viral.spades.short__as.yet.unknown__18873bp__001100..full
21	X2020.Feb.viral.fraction__viral.spades.short__as.yet.unknown__19362bp__001042..full
100	X2020.Feb.viral.fraction__viral.spades.short__as.yet.unknown__19934bp__000977..full
66	X2020.Feb.viral.fraction__viral.spades.short__as.yet.unknown__20441bp__000932..full
45	X2020.Feb.viral.fraction__viral.spades.short__as.yet.unknown__20594bp__000921..full
59	X2020.Feb.viral.fraction__viral.spades.short__as.yet.unknown__20890bp__000896..full
52	X2020.Feb.viral.fraction__viral.spades.short__as.yet.unknown__21860bp__000808..full
100	X2020.Feb.viral.fraction__viral.spades.short__as.yet.unknown__22358bp__000770..full
9	X2020.Feb.viral.fraction__viral.spades.short__as.yet.unknown__22668bp__000751..full
21	X2020.Feb.viral.fraction__viral.spades.short__as.yet.unknown__22780bp__000738..full
77	X2020.Feb.viral.fraction__viral.spades.short__as.yet.unknown__23070bp__000723..full
64	X2020.Feb.viral.fraction__viral.spades.short__as.yet.unknown__23171bp__000712..full
36	X2020.Feb.viral.fraction__viral.spades.short__as.yet.unknown__23297bp__000705..full
71	X2020.Feb.viral.fraction__viral.spades.short__as.yet.unknown__23354bp__000699..full
92	X2020.Feb.viral.fraction__viral.spades.short__as.yet.unknown__24327bp__000627..full
37	X2020.Feb.viral.fraction__viral.spades.short__as.yet.unknown__24458bp__000620..full
95	X2020.Feb.viral.fraction__viral.spades.short__as.yet.unknown__25034bp__000587..full
29	X2020.Feb.viral.fraction__viral.spades.short__as.yet.unknown__25256bp__000579..full
92	X2020.Feb.viral.fraction__viral.spades.short__as.yet.unknown__26115bp__000528..full
64	X2020.Feb.viral.fraction__viral.spades.short__as.yet.unknown__26263bp__000521..full
91	X2020.Feb.viral.fraction__viral.spades.short__as.yet.unknown__27127bp__000482..full
81	X2020.Feb.viral.fraction__viral.spades.short__as.yet.unknown__27146bp__000481..full
16	X2020.Feb.viral.fraction__viral.spades.short__as.yet.unknown__27581bp__000465..full
51	X2020.Feb.viral.fraction__viral.spades.short__as.yet.unknown__28009bp__000444..full
91	X2020.Feb.viral.fraction__viral.spades.short__as.yet.unknown__28172bp__000437..full
92	X2020.Feb.viral.fraction__viral.spades.short__as.yet.unknown__28318bp__000432..full
7	X2020.Feb.viral.fraction__viral.spades.short__as.yet.unknown__28375bp__000429..full
5	X2020.Feb.viral.fraction__viral.spades.short__as.yet.unknown__28750bp__000418..full
66	X2020.Feb.viral.fraction__viral.spades.short__as.yet.unknown__28903bp__000413..full
36	X2020.Feb.viral.fraction__viral.spades.short__as.yet.unknown__29063bp__000406..full
82	X2020.Feb.viral.fraction__viral.spades.short__as.yet.unknown__29068bp__000405..full
70	X2020.Feb.viral.fraction__viral.spades.short__as.yet.unknown__29206bp__000402..full
9	X2020.Feb.viral.fraction__viral.spades.short__as.yet.unknown__29317bp__000397..full
11	X2020.Feb.viral.fraction__viral.spades.short__as.yet.unknown__29915bp__000374..full
12	X2020.Feb.viral.fraction__viral.spades.short__as.yet.unknown__30265bp__000366..full
66	X2020.Feb.viral.fraction__viral.spades.short__as.yet.unknown__30576bp__000357..full
16	X2020.Feb.viral.fraction__viral.spades.short__as.yet.unknown__30760bp__000353..full
16	X2020.Feb.viral.fraction__viral.spades.short__as.yet.unknown__31173bp__000341..full
92	X2020.Feb.viral.fraction__viral.spades.short__as.yet.unknown__31200bp__000339..full
1	X2020.Feb.viral.fraction__viral.spades.short__as.yet.unknown__31308bp__000335..full
92	X2020.Feb.viral.fraction__viral.spades.short__as.yet.unknown__31888bp__000324..full
6	X2020.Feb.viral.fraction__viral.spades.short__as.yet.unknown__32263bp__000310..full
92	X2020.Feb.viral.fraction__viral.spades.short__as.yet.unknown__32453bp__000306..full
51	X2020.Feb.viral.fraction__viral.spades.short__as.yet.unknown__32510bp__000304..full
92	X2020.Feb.viral.fraction__viral.spades.short__as.yet.unknown__32617bp__000303..full
30	X2020.Feb.viral.fraction__viral.spades.short__as.yet.unknown__32796bp__000296..full
64	X2020.Feb.viral.fraction__viral.spades.short__as.yet.unknown__33017bp__000290..full
32	X2020.Feb.viral.fraction__viral.spades.short__as.yet.unknown__33228bp__000282..full
53	X2020.Feb.viral.fraction__viral.spades.short__as.yet.unknown__33314bp__000281..full
91	X2020.Feb.viral.fraction__viral.spades.short__as.yet.unknown__33499bp__000278..full
36	X2020.Feb.viral.fraction__viral.spades.short__as.yet.unknown__33953bp__000273..full
59	X2020.Feb.viral.fraction__viral.spades.short__as.yet.unknown__34262bp__000260..full
95	X2020.Feb.viral.fraction__viral.spades.short__as.yet.unknown__34304bp__000259..full
1	X2020.Feb.viral.fraction__viral.spades.short__as.yet.unknown__34457bp__000256..full
59	X2020.Feb.viral.fraction__viral.spades.short__as.yet.unknown__35068bp__000244..full
92	X2020.Feb.viral.fraction__viral.spades.short__as.yet.unknown__35107bp__000243..full
66	X2020.Feb.viral.fraction__viral.spades.short__as.yet.unknown__35159bp__000240..full
15	X2020.Feb.viral.fraction__viral.spades.short__as.yet.unknown__35754bp__000230..full
64	X2020.Feb.viral.fraction__viral.spades.short__as.yet.unknown__36309bp__000222..full
16	X2020.Feb.viral.fraction__viral.spades.short__as.yet.unknown__36682bp__000219..full
92	X2020.Feb.viral.fraction__viral.spades.short__as.yet.unknown__36982bp__000210..full
59	X2020.Feb.viral.fraction__viral.spades.short__as.yet.unknown__37449bp__000203..full
59	X2020.Feb.viral.fraction__viral.spades.short__as.yet.unknown__37596bp__000199..full
36	X2020.Feb.viral.fraction__viral.spades.short__as.yet.unknown__37733bp__000196..full
92	X2020.Feb.viral.fraction__viral.spades.short__as.yet.unknown__39064bp__000180..full
66	X2020.Feb.viral.fraction__viral.spades.short__as.yet.unknown__39076bp__000179..full
52	X2020.Feb.viral.fraction__viral.spades.short__as.yet.unknown__39238bp__000177..full
9	X2020.Feb.viral.fraction__viral.spades.short__as.yet.unknown__39255bp__000176..full
82	X2020.Feb.viral.fraction__viral.spades.short__as.yet.unknown__39412bp__000173..full
96	X2020.Feb.viral.fraction__viral.spades.short__as.yet.unknown__39713bp__000167..full
14	X2020.Feb.viral.fraction__viral.spades.short__as.yet.unknown__39874bp__000164..full
92	X2020.Feb.viral.fraction__viral.spades.short__as.yet.unknown__39976bp__000163..full
16	X2020.Feb.viral.fraction__viral.spades.short__as.yet.unknown__40223bp__000159..full
62	X2020.Feb.viral.fraction__viral.spades.short__as.yet.unknown__40432bp__000156..full
92	X2020.Feb.viral.fraction__viral.spades.short__as.yet.unknown__41597bp__000144..full
34	X2020.Feb.viral.fraction__viral.spades.short__as.yet.unknown__41759bp__000142..full
21	X2020.Feb.viral.fraction__viral.spades.short__as.yet.unknown__41955bp__000141..full
64	X2020.Feb.viral.fraction__viral.spades.short__as.yet.unknown__42267bp__000138..full
89	X2020.Feb.viral.fraction__viral.spades.short__as.yet.unknown__42905bp__000133..full
91	X2020.Feb.viral.fraction__viral.spades.short__as.yet.unknown__42961bp__000131..full
52	X2020.Feb.viral.fraction__viral.spades.short__as.yet.unknown__43955bp__000126..full
12	X2020.Feb.viral.fraction__viral.spades.short__as.yet.unknown__44769bp__000122..full
91	X2020.Feb.viral.fraction__viral.spades.short__as.yet.unknown__44848bp__000121..full
35	X2020.Feb.viral.fraction__viral.spades.short__as.yet.unknown__44982bp__000118..full
21	X2020.Feb.viral.fraction__viral.spades.short__as.yet.unknown__45927bp__000113..full
89	X2020.Feb.viral.fraction__viral.spades.short__as.yet.unknown__46681bp__000107..full
14	X2020.Feb.viral.fraction__viral.spades.short__as.yet.unknown__48684bp__000098..full
45	X2020.Feb.viral.fraction__viral.spades.short__as.yet.unknown__49029bp__000097..full
18	X2020.Feb.viral.fraction__viral.spades.short__as.yet.unknown__49621bp__000095..full
45	X2020.Feb.viral.fraction__viral.spades.short__as.yet.unknown__50673bp__000084..full
62	X2020.Feb.viral.fraction__viral.spades.short__as.yet.unknown__52624bp__000076..full
53	X2020.Feb.viral.fraction__viral.spades.short__as.yet.unknown__56366bp__000060..full
23	X2020.Feb.viral.fraction__viral.spades.short__as.yet.unknown__58870bp__000053..full
92	X2020.Feb.viral.fraction__viral.spades.short__as.yet.unknown__61846bp__000043..full
64	X2020.Feb.viral.fraction__viral.spades.short__as.yet.unknown__69389bp__000030..full
55	X2020.Feb.viral.fraction__viral.spades.short__as.yet.unknown__69883bp__000027..full
62	X2020.Feb.viral.fraction__viral.spades.short__as.yet.unknown__72819bp__000022..full
68	X2020.Feb.viral.fraction__viral.spades.short__as.yet.unknown__74608bp__000021..full
91	X2020.Jan.viral.fraction__viral.spades.short__as.yet.unknown__11252bp__002841..full
54	X2020.Jan.viral.fraction__viral.spades.short__as.yet.unknown__11658bp__002631..full
65	X2020.Jan.viral.fraction__viral.spades.short__as.yet.unknown__126324bp__000005..full
16	X2020.Jan.viral.fraction__viral.spades.short__as.yet.unknown__12939bp__002171..full
8	X2020.Jan.viral.fraction__viral.spades.short__as.yet.unknown__137892bp__000003..full
21	X2020.Jan.viral.fraction__viral.spades.short__as.yet.unknown__14714bp__001681..full
64	X2020.Jan.viral.fraction__viral.spades.short__as.yet.unknown__15796bp__001460..full
36	X2020.Jan.viral.fraction__viral.spades.short__as.yet.unknown__16612bp__001330..full
9	X2020.Jan.viral.fraction__viral.spades.short__as.yet.unknown__18141bp__001100..full
28	X2020.Jan.viral.fraction__viral.spades.short__as.yet.unknown__18528bp__001051..full
82	X2020.Jan.viral.fraction__viral.spades.short__as.yet.unknown__18975bp__001006..full
27	X2020.Jan.viral.fraction__viral.spades.short__as.yet.unknown__19597bp__000935..full
59	X2020.Jan.viral.fraction__viral.spades.short__as.yet.unknown__19985bp__000898..full
64	X2020.Jan.viral.fraction__viral.spades.short__as.yet.unknown__20021bp__000892..full
93	X2020.Jan.viral.fraction__viral.spades.short__as.yet.unknown__20239bp__000875..full
37	X2020.Jan.viral.fraction__viral.spades.short__as.yet.unknown__20507bp__000853..full
93	X2020.Jan.viral.fraction__viral.spades.short__as.yet.unknown__21150bp__000811..full
8	X2020.Jan.viral.fraction__viral.spades.short__as.yet.unknown__22006bp__000756..full
49	X2020.Jan.viral.fraction__viral.spades.short__as.yet.unknown__22394bp__000727..full
56	X2020.Jan.viral.fraction__viral.spades.short__as.yet.unknown__22775bp__000698..full
36	X2020.Jan.viral.fraction__viral.spades.short__as.yet.unknown__23089bp__000676..full
92	X2020.Jan.viral.fraction__viral.spades.short__as.yet.unknown__23231bp__000663..full
89	X2020.Jan.viral.fraction__viral.spades.short__as.yet.unknown__23276bp__000660..full
82	X2020.Jan.viral.fraction__viral.spades.short__as.yet.unknown__24180bp__000608..full
59	X2020.Jan.viral.fraction__viral.spades.short__as.yet.unknown__24303bp__000602..full
24	X2020.Jan.viral.fraction__viral.spades.short__as.yet.unknown__24556bp__000588..full
74	X2020.Jan.viral.fraction__viral.spades.short__as.yet.unknown__25054bp__000561..full
35	X2020.Jan.viral.fraction__viral.spades.short__as.yet.unknown__25104bp__000556..full
97	X2020.Jan.viral.fraction__viral.spades.short__as.yet.unknown__25694bp__000516..full
64	X2020.Jan.viral.fraction__viral.spades.short__as.yet.unknown__25781bp__000510..full
64	X2020.Jan.viral.fraction__viral.spades.short__as.yet.unknown__25827bp__000508..full
6	X2020.Jan.viral.fraction__viral.spades.short__as.yet.unknown__25847bp__000505..full
9	X2020.Jan.viral.fraction__viral.spades.short__as.yet.unknown__26428bp__000480..full
89	X2020.Jan.viral.fraction__viral.spades.short__as.yet.unknown__27014bp__000464..full
89	X2020.Jan.viral.fraction__viral.spades.short__as.yet.unknown__27566bp__000437..full
33	X2020.Jan.viral.fraction__viral.spades.short__as.yet.unknown__27835bp__000420..full
50	X2020.Jan.viral.fraction__viral.spades.short__as.yet.unknown__27914bp__000416..full
64	X2020.Jan.viral.fraction__viral.spades.short__as.yet.unknown__27971bp__000414..full
92	X2020.Jan.viral.fraction__viral.spades.short__as.yet.unknown__28019bp__000409..full
6	X2020.Jan.viral.fraction__viral.spades.short__as.yet.unknown__28134bp__000405..full
21	X2020.Jan.viral.fraction__viral.spades.short__as.yet.unknown__28286bp__000399..full
29	X2020.Jan.viral.fraction__viral.spades.short__as.yet.unknown__28679bp__000387..full
89	X2020.Jan.viral.fraction__viral.spades.short__as.yet.unknown__28889bp__000377..full
54	X2020.Jan.viral.fraction__viral.spades.short__as.yet.unknown__28993bp__000371..full
68	X2020.Jan.viral.fraction__viral.spades.short__as.yet.unknown__28994bp__000370..full
35	X2020.Jan.viral.fraction__viral.spades.short__as.yet.unknown__29084bp__000368..full
103	X2020.Jan.viral.fraction__viral.spades.short__as.yet.unknown__29176bp__000365..full
96	X2020.Jan.viral.fraction__viral.spades.short__as.yet.unknown__29522bp__000360..full
31	X2020.Jan.viral.fraction__viral.spades.short__as.yet.unknown__29882bp__000350..full
8	X2020.Jan.viral.fraction__viral.spades.short__as.yet.unknown__30086bp__000345..full
37	X2020.Jan.viral.fraction__viral.spades.short__as.yet.unknown__30327bp__000337..full
